X,CH1,CH2,Start,Increment
608,1.56E+00,1.92E-02,,
609,1.52E+00,-3.20E-03,,
610,1.56E+00,1.28E-02,,
611,1.48E+00,3.20E-03,,
612,1.52E+00,3.20E-03,,
613,1.48E+00,1.28E-02,,
614,1.52E+00,1.20E-02,,
615,1.46E+00,1.60E-03,,
616,1.46E+00,1.68E-02,,
617,1.52E+00,-4.00E-03,,
618,1.46E+00,8.00E-04,,
619,1.48E+00,1.28E-02,,
620,1.48E+00,1.20E-02,,
621,1.42E+00,8.00E-04,,
622,1.42E+00,1.20E-02,,
623,1.46E+00,-5.60E-03,,
624,1.46E+00,-4.00E-03,,
625,1.40E+00,1.44E-02,,
626,1.46E+00,8.00E-04,,
627,1.40E+00,1.04E-02,,
628,1.42E+00,-1.60E-03,,
629,1.40E+00,1.20E-02,,
630,1.42E+00,8.00E-04,,
631,1.36E+00,1.04E-02,,
632,1.36E+00,1.68E-02,,
633,1.42E+00,-5.60E-03,,
634,1.40E+00,9.60E-03,,
635,1.36E+00,-8.00E-04,,
636,1.40E+00,9.60E-03,,
637,1.34E+00,-8.00E-04,,
638,1.34E+00,9.60E-03,,
639,1.40E+00,-6.40E-03,,
640,1.36E+00,-3.20E-03,,
641,1.30E+00,1.04E-02,,
642,1.36E+00,8.00E-03,,
643,1.30E+00,-8.00E-04,,
644,1.34E+00,-8.00E-04,,
645,1.30E+00,8.00E-03,,
646,1.30E+00,9.60E-03,,
647,1.34E+00,-1.60E-03,,
648,1.34E+00,-3.20E-03,,
649,1.26E+00,1.28E-02,,
650,1.26E+00,7.20E-03,,
651,1.30E+00,-8.00E-04,,
652,1.30E+00,7.20E-03,,
653,1.24E+00,-1.60E-03,,
654,1.24E+00,1.20E-02,,
655,1.30E+00,-1.20E-02,,
656,1.24E+00,8.00E-03,,
657,1.26E+00,-3.20E-03,,
658,1.26E+00,-3.20E-03,,
659,1.20E+00,8.00E-03,,
660,1.24E+00,7.20E-03,,
661,1.20E+00,-1.60E-03,,
662,1.24E+00,9.60E-03,,
663,1.18E+00,-4.00E-03,,
664,1.24E+00,1.20E-02,,
665,1.18E+00,-5.60E-03,,
666,1.20E+00,7.20E-03,,
667,1.18E+00,-3.20E-03,,
668,1.20E+00,8.00E-03,,
669,1.14E+00,-4.00E-03,,
670,1.14E+00,-1.28E-02,,
671,1.20E+00,1.20E-02,,
672,1.18E+00,-1.60E-03,,
673,1.14E+00,7.20E-03,,
674,1.18E+00,7.20E-03,,
675,1.10E+00,-3.20E-03,,
676,1.10E+00,-3.20E-03,,
677,1.18E+00,9.60E-03,,
678,1.14E+00,1.04E-02,,
679,1.08E+00,-5.60E-03,,
680,1.14E+00,1.04E-02,,
681,1.08E+00,-4.00E-03,,
682,1.08E+00,7.20E-03,,
683,1.10E+00,-3.20E-03,,
684,1.10E+00,7.20E-03,,
685,1.04E+00,-3.20E-03,,
686,1.10E+00,1.04E-02,,
687,1.04E+00,-8.00E-03,,
688,1.08E+00,7.20E-03,,
689,1.04E+00,-3.20E-03,,
690,1.08E+00,7.20E-03,,
691,1.02E+00,-3.20E-03,,
692,1.02E+00,7.20E-03,,
693,1.08E+00,-3.20E-03,,
694,1.04E+00,1.20E-02,,
695,9.80E-01,-4.00E-03,,
696,1.04E+00,7.20E-03,,
697,9.80E-01,-3.20E-03,,
698,9.80E-01,-1.60E-03,,
699,1.02E+00,7.20E-03,,
700,1.02E+00,7.20E-03,,
701,9.60E-01,-3.20E-03,,
702,9.60E-01,1.04E-02,,
703,1.02E+00,-1.20E-02,,
704,9.60E-01,-3.20E-03,,
705,9.80E-01,7.20E-03,,
706,9.80E-01,-4.00E-03,,
707,9.20E-01,8.00E-03,,
708,9.80E-01,-3.20E-03,,
709,9.20E-01,8.00E-03,,
710,9.60E-01,1.04E-02,,
711,8.80E-01,-6.40E-03,,
712,9.60E-01,-5.60E-03,,
713,8.80E-01,9.60E-03,,
714,9.20E-01,-3.20E-03,,
715,8.60E-01,8.00E-03,,
716,9.20E-01,1.20E-02,,
717,8.60E-01,-8.00E-03,,
718,9.20E-01,8.00E-03,,
719,8.60E-01,-9.60E-03,,
720,8.80E-01,-3.20E-03,,
721,8.20E-01,7.20E-03,,
722,8.80E-01,-1.60E-03,,
723,8.20E-01,7.20E-03,,
724,8.20E-01,7.20E-03,,
725,8.80E-01,-3.20E-03,,
726,8.60E-01,-6.40E-03,,
727,8.00E-01,1.20E-02,,
728,8.60E-01,-3.20E-03,,
729,8.00E-01,7.20E-03,,
730,8.20E-01,-1.60E-03,,
731,7.60E-01,7.20E-03,,
732,8.20E-01,1.04E-02,,
733,7.60E-01,-8.00E-03,,
734,8.20E-01,8.00E-03,,
735,7.60E-01,-9.60E-03,,
736,7.60E-01,-1.60E-03,,
737,8.20E-01,7.20E-03,,
738,8.00E-01,7.20E-03,,
739,7.40E-01,-3.20E-03,,
740,7.40E-01,7.20E-03,,
741,8.00E-01,-3.20E-03,,
742,7.60E-01,-6.40E-03,,
743,7.00E-01,1.04E-02,,
744,7.60E-01,-3.20E-03,,
745,7.00E-01,8.00E-03,,
746,7.60E-01,-1.60E-03,,
747,6.60E-01,7.20E-03,,
748,7.40E-01,1.28E-02,,
749,6.60E-01,-1.04E-02,,
750,7.40E-01,8.00E-03,,
751,6.60E-01,-1.04E-02,,
752,7.00E-01,-4.00E-03,,
753,6.40E-01,9.60E-03,,
754,7.00E-01,-5.60E-03,,
755,6.40E-01,9.60E-03,,
756,7.00E-01,8.00E-03,,
757,6.00E-01,-4.00E-03,,
758,6.60E-01,1.28E-02,,
759,6.00E-01,-8.00E-03,,
760,6.60E-01,-4.00E-03,,
761,6.00E-01,9.60E-03,,
762,6.00E-01,7.20E-03,,
763,6.60E-01,-3.20E-03,,
764,5.80E-01,9.60E-03,,
765,6.60E-01,-6.40E-03,,
766,6.40E-01,-8.00E-03,,
767,5.80E-01,8.00E-03,,
768,6.00E-01,-1.60E-03,,
769,5.40E-01,7.20E-03,,
770,6.00E-01,7.20E-03,,
771,5.40E-01,-3.20E-03,,
772,5.40E-01,-1.60E-03,,
773,6.00E-01,7.20E-03,,
774,5.80E-01,1.04E-02,,
775,5.00E-01,-6.40E-03,,
776,5.80E-01,8.00E-03,,
777,5.00E-01,-5.60E-03,,
778,5.00E-01,7.20E-03,,
779,5.80E-01,-3.20E-03,,
780,5.40E-01,1.04E-02,,
781,4.80E-01,-8.00E-03,,
782,5.40E-01,9.60E-03,,
783,4.80E-01,-1.04E-02,,
784,5.00E-01,7.20E-03,,
785,4.40E-01,-3.20E-03,,
786,5.00E-01,7.20E-03,,
787,4.40E-01,-3.20E-03,,
788,5.00E-01,7.20E-03,,
789,4.40E-01,-3.20E-03,,
790,4.80E-01,-5.60E-03,,
791,4.20E-01,1.20E-02,,
792,4.80E-01,7.20E-03,,
793,4.20E-01,-3.20E-03,,
794,4.20E-01,-9.60E-03,,
795,4.80E-01,1.44E-02,,
796,4.40E-01,1.04E-02,,
797,3.80E-01,-1.20E-02,,
798,4.40E-01,-6.40E-03,,
799,3.60E-01,8.00E-03,,
800,4.40E-01,-4.00E-03,,
801,3.60E-01,8.00E-03,,
802,4.20E-01,-3.20E-03,,
803,3.60E-01,8.00E-03,,
804,3.60E-01,8.00E-03,,
805,4.20E-01,-4.00E-03,,
806,4.20E-01,1.20E-02,,
807,3.20E-01,-6.40E-03,,
808,3.80E-01,7.20E-03,,
809,3.20E-01,-4.00E-03,,
810,3.80E-01,-9.60E-03,,
811,2.80E-01,1.28E-02,,
812,3.60E-01,8.00E-03,,
813,2.80E-01,-8.00E-03,,
814,3.60E-01,-1.60E-03,,
815,2.80E-01,7.20E-03,,
816,3.60E-01,-1.60E-03,,
817,2.60E-01,7.20E-03,,
818,3.20E-01,-3.20E-03,,
819,2.60E-01,7.20E-03,,
820,3.20E-01,-3.20E-03,,
821,2.60E-01,7.20E-03,,
822,3.20E-01,-4.00E-03,,
823,2.20E-01,1.20E-02,,
824,2.80E-01,7.20E-03,,
825,2.20E-01,-3.20E-03,,
826,2.80E-01,1.04E-02,,
827,2.00E-01,-8.00E-03,,
828,2.60E-01,1.04E-02,,
829,2.00E-01,-1.28E-02,,
830,2.60E-01,-3.20E-03,,
831,2.00E-01,7.20E-03,,
832,2.60E-01,-3.20E-03,,
833,1.60E-01,7.20E-03,,
834,2.20E-01,-1.60E-03,,
835,1.60E-01,7.20E-03,,
836,2.20E-01,-3.20E-03,,
837,1.40E-01,7.20E-03,,
838,1.40E-01,1.04E-02,,
839,2.20E-01,-5.60E-03,,
840,2.00E-01,1.04E-02,,
841,1.40E-01,-5.60E-03,,
842,2.00E-01,-8.00E-03,,
843,1.00E-01,1.20E-02,,
844,2.00E-01,-8.00E-03,,
845,1.00E-01,8.00E-03,,
846,1.60E-01,-4.00E-03,,
847,1.00E-01,8.00E-03,,
848,1.60E-01,-3.20E-03,,
849,6.00E-02,7.20E-03,,
850,1.40E-01,7.20E-03,,
851,6.00E-02,-3.20E-03,,
852,1.40E-01,8.00E-03,,
853,4.00E-02,-4.00E-03,,
854,1.40E-01,1.04E-02,,
855,4.00E-02,-5.60E-03,,
856,1.00E-01,1.44E-02,,
857,4.00E-02,-1.20E-02,,
858,1.00E-01,-3.20E-03,,
859,0.00E+00,7.20E-03,,
860,6.00E-02,9.60E-03,,
861,0.00E+00,-1.04E-02,,
862,0.00E+00,-3.20E-03,,
863,1.00E-01,7.20E-03,,
864,4.00E-02,-3.20E-03,,
865,1.00E-01,7.20E-03,,
866,4.00E-02,-1.60E-03,,
867,1.40E-01,7.20E-03,,
868,4.00E-02,1.44E-02,,
869,1.40E-01,-8.00E-03,,
870,1.40E-01,-1.60E-03,,
871,6.00E-02,7.20E-03,,
872,1.40E-01,-5.60E-03,,
873,6.00E-02,1.04E-02,,
874,1.00E-01,8.00E-03,,
875,1.60E-01,-3.20E-03,,
876,1.60E-01,8.00E-03,,
877,1.00E-01,-1.04E-02,,
878,1.40E-01,-3.20E-03,,
879,2.00E-01,7.20E-03,,
880,1.40E-01,7.20E-03,,
881,2.00E-01,-3.20E-03,,
882,1.40E-01,-4.00E-03,,
883,2.20E-01,8.00E-03,,
884,1.60E-01,-6.40E-03,,
885,2.20E-01,1.20E-02,,
886,1.60E-01,8.00E-03,,
887,2.20E-01,-4.00E-03,,
888,1.60E-01,-1.04E-02,,
889,2.60E-01,1.44E-02,,
890,2.00E-01,8.00E-03,,
891,2.60E-01,-5.60E-03,,
892,2.00E-01,-1.28E-02,,
893,2.60E-01,1.20E-02,,
894,2.00E-01,-3.20E-03,,
895,2.80E-01,7.20E-03,,
896,2.20E-01,8.00E-03,,
897,2.80E-01,-4.00E-03,,
898,2.20E-01,7.20E-03,,
899,2.80E-01,-3.20E-03,,
900,2.20E-01,1.20E-02,,
901,3.20E-01,-8.00E-03,,
902,2.60E-01,7.20E-03,,
903,3.20E-01,-3.20E-03,,
904,2.60E-01,1.20E-02,,
905,3.60E-01,-9.60E-03,,
906,2.80E-01,-1.60E-03,,
907,3.60E-01,7.20E-03,,
908,2.80E-01,9.60E-03,,
909,3.60E-01,-1.04E-02,,
910,2.80E-01,7.20E-03,,
911,3.80E-01,-3.20E-03,,
912,3.20E-01,-1.60E-03,,
913,3.80E-01,7.20E-03,,
914,3.80E-01,7.20E-03,,
915,3.20E-01,-3.20E-03,,
916,3.20E-01,1.20E-02,,
917,4.20E-01,-5.60E-03,,
918,3.60E-01,9.60E-03,,
919,4.20E-01,-8.00E-03,,
920,3.60E-01,7.20E-03,,
921,4.40E-01,-3.20E-03,,
922,3.80E-01,7.20E-03,,
923,4.40E-01,-3.20E-03,,
924,4.40E-01,1.20E-02,,
925,3.80E-01,-1.20E-02,,
926,4.40E-01,8.00E-03,,
927,3.80E-01,-4.00E-03,,
928,4.20E-01,8.00E-03,,
929,4.80E-01,-4.00E-03,,
930,4.20E-01,8.00E-03,,
931,4.80E-01,-4.00E-03,,
932,5.00E-01,1.20E-02,,
933,4.20E-01,-6.40E-03,,
934,5.00E-01,1.28E-02,,
935,4.40E-01,-8.00E-03,,
936,5.00E-01,9.60E-03,,
937,4.40E-01,-4.00E-03,,
938,4.80E-01,9.60E-03,,
939,5.40E-01,-1.04E-02,,
940,5.40E-01,-6.40E-03,,
941,4.80E-01,8.00E-03,,
942,5.00E-01,7.20E-03,,
943,5.80E-01,-3.20E-03,,
944,5.00E-01,-1.60E-03,,
945,5.80E-01,7.20E-03,,
946,5.00E-01,-1.60E-03,,
947,5.80E-01,7.20E-03,,
948,5.40E-01,1.28E-02,,
949,6.00E-01,-6.40E-03,,
950,5.40E-01,-1.04E-02,,
951,6.00E-01,1.52E-02,,
952,6.00E-01,-1.60E-03,,
953,5.40E-01,7.20E-03,,
954,5.80E-01,9.60E-03,,
955,6.40E-01,-9.60E-03,,
956,6.40E-01,7.20E-03,,
957,5.80E-01,-3.20E-03,,
958,6.00E-01,-3.20E-03,,
959,6.60E-01,7.20E-03,,
960,6.00E-01,-1.60E-03,,
961,6.60E-01,7.20E-03,,
962,6.60E-01,7.20E-03,,
963,6.00E-01,-3.20E-03,,
964,6.40E-01,1.04E-02,,
965,7.00E-01,-8.00E-03,,
966,7.00E-01,9.60E-03,,
967,6.40E-01,-5.60E-03,,
968,7.00E-01,7.20E-03,,
969,6.40E-01,-3.20E-03,,
970,6.60E-01,1.04E-02,,
971,7.40E-01,-1.04E-02,,
972,6.60E-01,-3.20E-03,,
973,7.40E-01,7.20E-03,,
974,6.60E-01,7.20E-03,,
975,7.60E-01,-4.00E-03,,
976,7.00E-01,8.00E-03,,
977,7.60E-01,-5.60E-03,,
978,7.60E-01,-4.00E-03,,
979,7.00E-01,8.00E-03,,
980,7.00E-01,-9.60E-03,,
981,8.00E-01,1.44E-02,,
982,8.00E-01,-1.60E-03,,
983,7.40E-01,7.20E-03,,
984,8.00E-01,-4.00E-03,,
985,7.40E-01,8.00E-03,,
986,7.60E-01,1.04E-02,,
987,8.20E-01,-8.00E-03,,
988,8.20E-01,7.20E-03,,
989,7.60E-01,-3.20E-03,,
990,8.20E-01,-3.20E-03,,
991,7.60E-01,7.20E-03,,
992,8.00E-01,-3.20E-03,,
993,8.60E-01,7.20E-03,,
994,8.60E-01,1.20E-02,,
995,8.00E-01,-5.60E-03,,
996,8.20E-01,1.04E-02,,
997,8.80E-01,-6.40E-03,,
998,8.20E-01,7.20E-03,,
999,8.80E-01,-3.20E-03,,
1000,8.80E-01,-1.60E-03,,
1001,8.20E-01,7.20E-03,,
1002,8.60E-01,-8.00E-03,,
1003,9.20E-01,1.04E-02,,
1004,9.20E-01,-1.60E-03,,
1005,8.60E-01,7.20E-03,,
1006,8.80E-01,-1.60E-03,,
1007,9.60E-01,7.20E-03,,
1008,8.80E-01,5.60E-03,,
1009,9.60E-01,-1.60E-03,,
1010,9.60E-01,1.28E-02,,
1011,8.80E-01,-5.60E-03,,
1012,9.20E-01,9.60E-03,,
1013,9.80E-01,-4.00E-03,,
1014,9.20E-01,7.20E-03,,
1015,9.80E-01,-3.20E-03,,
1016,9.80E-01,9.60E-03,,
1017,9.20E-01,-5.60E-03,,
1018,9.60E-01,8.00E-03,,
1019,1.02E+00,-9.60E-03,,
1020,9.60E-01,7.20E-03,,
1021,1.02E+00,-3.20E-03,,
1022,9.80E-01,-3.20E-03,,
1023,1.02E+00,7.20E-03,,
1024,9.80E-01,-3.20E-03,,
1025,1.04E+00,7.20E-03,,
1026,1.04E+00,-8.00E-03,,
1027,9.80E-01,1.20E-02,,
1028,1.02E+00,7.20E-03,,
1029,1.08E+00,-3.20E-03,,
1030,1.02E+00,-1.60E-03,,
1031,1.08E+00,7.20E-03,,
1032,1.08E+00,-6.40E-03,,
1033,1.02E+00,9.60E-03,,
1034,1.04E+00,-9.60E-03,,
1035,1.10E+00,8.00E-03,,
1036,1.04E+00,-3.20E-03,,
1037,1.10E+00,7.20E-03,,
1038,1.08E+00,-3.20E-03,,
1039,1.10E+00,7.20E-03,,
1040,1.08E+00,7.20E-03,,
1041,1.14E+00,-3.20E-03,,
1042,1.14E+00,1.04E-02,,
1043,1.08E+00,-5.60E-03,,
1044,1.10E+00,-1.60E-03,,
1045,1.14E+00,7.20E-03,,
1046,1.10E+00,7.20E-03,,
1047,1.18E+00,-3.20E-03,,
1048,1.18E+00,1.04E-02,,
1049,1.10E+00,-1.04E-02,,
1050,1.14E+00,7.20E-03,,
1051,1.20E+00,-3.20E-03,,
1052,1.14E+00,7.20E-03,,
1053,1.20E+00,-3.20E-03,,
1054,1.20E+00,8.00E-03,,
1055,1.14E+00,-3.20E-03,,
1056,1.18E+00,-1.60E-03,,
1057,1.24E+00,7.20E-03,,
1058,1.24E+00,1.28E-02,,
1059,1.18E+00,-8.00E-03,,
1060,1.20E+00,-3.20E-03,,
1061,1.24E+00,8.00E-03,,
1062,1.20E+00,-1.60E-03,,
1063,1.26E+00,7.20E-03,,
1064,1.24E+00,1.44E-02,,
1065,1.26E+00,-1.04E-02,,
1066,1.24E+00,-1.60E-03,,
1067,1.30E+00,8.00E-03,,
1068,1.24E+00,8.00E-03,,
1069,1.30E+00,-3.20E-03,,
1070,1.26E+00,8.00E-03,,
1071,1.30E+00,-1.60E-03,,
1072,1.26E+00,1.52E-02,,
1073,1.34E+00,-5.60E-03,,
1074,1.34E+00,1.28E-02,,
1075,1.26E+00,-8.00E-03,,
1076,1.30E+00,-8.00E-04,,
1077,1.34E+00,8.00E-03,,
1078,1.30E+00,-8.00E-04,,
1079,1.36E+00,8.00E-03,,
1080,1.36E+00,1.04E-02,,
1081,1.30E+00,-8.00E-03,,
1082,1.34E+00,-8.00E-04,,
1083,1.40E+00,8.00E-03,,
1084,1.34E+00,-8.00E-04,,
1085,1.40E+00,9.60E-03,,
1086,1.36E+00,-8.00E-04,,
1087,1.40E+00,9.60E-03,,
1088,1.36E+00,-5.60E-03,,
1089,1.42E+00,1.52E-02,,
1090,1.36E+00,-8.00E-04,,
1091,1.42E+00,1.04E-02,,
1092,1.40E+00,8.00E-04,,
1093,1.46E+00,9.60E-03,,
1094,1.40E+00,8.00E-04,,
1095,1.46E+00,1.04E-02,,
1096,1.46E+00,1.28E-02,,
1097,1.40E+00,-6.40E-03,,
1098,1.42E+00,8.00E-04,,
1099,1.46E+00,1.04E-02,,
1100,1.48E+00,1.28E-02,,
1101,1.42E+00,-8.00E-04,,
1102,1.46E+00,1.60E-03,,
1103,1.48E+00,1.20E-02,,
1104,1.46E+00,1.76E-02,,
1105,1.52E+00,-6.40E-03,,
1106,1.52E+00,3.20E-03,,
1107,1.46E+00,1.20E-02,,
1108,1.48E+00,3.20E-03,,
1109,1.52E+00,1.20E-02,,
1110,1.48E+00,4.00E-03,,
1111,1.56E+00,1.20E-02,,
1112,1.52E+00,-9.60E-03,,
1113,1.56E+00,1.76E-02,,
1114,1.56E+00,4.00E-03,,
1115,1.52E+00,1.28E-02,,
1116,1.58E+00,3.20E-03,,
1117,1.52E+00,1.44E-02,,
1118,1.56E+00,1.44E-02,,
1119,1.58E+00,4.00E-03,,
1120,1.56E+00,2.08E-02,,
1121,1.62E+00,8.00E-04,,
1122,1.62E+00,1.44E-02,,
1123,1.56E+00,5.60E-03,,
1124,1.58E+00,7.20E-03,,
1125,1.62E+00,1.52E-02,,
1126,1.58E+00,-1.60E-03,,
1127,1.64E+00,1.92E-02,,
1128,1.62E+00,8.00E-03,,
1129,1.64E+00,1.52E-02,,
1130,1.62E+00,8.00E-03,,
1131,1.68E+00,1.68E-02,,
1132,1.62E+00,8.00E-03,,
1133,1.68E+00,1.76E-02,,
1134,1.64E+00,2.16E-02,,
1135,1.68E+00,4.00E-03,,
1136,1.64E+00,7.20E-03,,
1137,1.70E+00,2.16E-02,,
1138,1.70E+00,1.76E-02,,
1139,1.64E+00,9.60E-03,,
1140,1.68E+00,9.60E-03,,
1141,1.70E+00,1.92E-02,,
1142,1.68E+00,2.32E-02,,
1143,1.74E+00,8.00E-04,,
1144,1.70E+00,2.08E-02,,
1145,1.74E+00,1.04E-02,,
1146,1.70E+00,2.08E-02,,
1147,1.74E+00,1.20E-02,,
1148,1.78E+00,1.28E-02,,
1149,1.70E+00,2.16E-02,,
1150,1.74E+00,8.00E-03,,
1151,1.78E+00,2.64E-02,,
1152,1.74E+00,1.44E-02,,
1153,1.80E+00,2.32E-02,,
1154,1.78E+00,1.52E-02,,
1155,1.80E+00,2.32E-02,,
1156,1.78E+00,1.52E-02,,
1157,1.80E+00,2.40E-02,,
1158,1.78E+00,2.56E-02,,
1159,1.84E+00,8.00E-03,,
1160,1.80E+00,2.40E-02,,
1161,1.84E+00,1.68E-02,,
1162,1.80E+00,2.56E-02,,
1163,1.86E+00,1.76E-02,,
1164,1.80E+00,1.76E-02,,
1165,1.86E+00,2.64E-02,,
1166,1.84E+00,1.28E-02,,
1167,1.86E+00,3.44E-02,,
1168,1.84E+00,1.92E-02,,
1169,1.90E+00,2.80E-02,,
1170,1.86E+00,2.08E-02,,
1171,1.90E+00,2.88E-02,,
1172,1.86E+00,2.08E-02,,
1173,1.90E+00,2.88E-02,,
1174,1.86E+00,3.28E-02,,
1175,1.94E+00,1.44E-02,,
1176,1.90E+00,2.16E-02,,
1177,1.94E+00,3.12E-02,,
1178,1.90E+00,2.32E-02,,
1179,1.94E+00,3.12E-02,,
1180,1.90E+00,2.40E-02,,
1181,1.96E+00,3.44E-02,,
1182,1.94E+00,3.92E-02,,
1183,1.96E+00,2.08E-02,,
1184,1.94E+00,2.56E-02,,
1185,2.00E+00,3.44E-02,,
1186,1.94E+00,2.64E-02,,
1187,2.00E+00,3.52E-02,,
1188,1.96E+00,4.00E-02,,
1189,2.00E+00,1.68E-02,,
1190,1.96E+00,2.64E-02,,
1191,2.02E+00,3.68E-02,,
1192,2.00E+00,2.88E-02,,
1193,2.02E+00,3.68E-02,,
1194,2.00E+00,2.88E-02,,
1195,2.02E+00,3.76E-02,,
1196,2.00E+00,4.24E-02,,
1197,2.06E+00,2.80E-02,,
1198,2.02E+00,4.48E-02,,
1199,2.06E+00,2.64E-02,,
